generation,avg_fitness,max_fitness,best_win_rate,best_avg_points,best_avg_rounds
0,219.33333333333334,299.6666666666667,1.0,10.0,20.333333333333332
1,223.26666666666665,300.6666666666667,1.0,10.0,19.333333333333332
2,229.3,295.6666666666667,1.0,10.0,24.333333333333332
3,192.5,285.3333333333333,1.0,10.0,34.666666666666664
4,204.03333333333333,293.6666666666667,1.0,10.0,26.333333333333332
