label,games,wins,win_rate,avg_points,avg_rounds,avg_fitness
base_genes,30,23,0.7666666666666667,8.633333333333333,33.3,228.76666666666668
trained_genes,30,25,0.8333333333333334,9.233333333333333,31.4,248.7
